;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 06/08/2019 03:05:40 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF014EFA9  	GOTO        10578
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_SPI1_Read:
;__Lib_SPI_b10c7.c,68 :: 		
;__Lib_SPI_b10c7.c,69 :: 		
0x001C	0xFFC9C365  	MOVFF       FARG_SPI1_Read_buffer, SSPBUF
;__Lib_SPI_b10c7.c,70 :: 		
L_SPI1_Read6:
0x0020	0xB0C7      	BTFSC       SSPSTAT, 0 
0x0022	0xD002      	BRA         L_SPI1_Read7
;__Lib_SPI_b10c7.c,71 :: 		
0x0024	0x0000      	NOP
0x0026	0xD7FC      	BRA         L_SPI1_Read6
L_SPI1_Read7:
;__Lib_SPI_b10c7.c,72 :: 		
0x0028	0xF000CFC9  	MOVFF       SSPBUF, R0
;__Lib_SPI_b10c7.c,75 :: 		
L_end_SPI1_Read:
0x002C	0x0012      	RETURN      0
; end of _SPI1_Read
_____DoIFC:
;__Lib_System.c,93 :: 		
;__Lib_System.c,94 :: 		
0x002E	0x50F2      	MOVF        INTCON, 0, 0
;__Lib_System.c,95 :: 		
0x0030	0x6E02      	MOVWF       R2, 0
;__Lib_System.c,96 :: 		
0x0032	0x9EF2      	BCF         INTCON, 7 
;__Lib_System.c,97 :: 		
0x0034	0x0005      	PUSH
;__Lib_System.c,98 :: 		
0x0036	0x6AFF      	CLRF        TOSU, 0
;__Lib_System.c,99 :: 		
0x0038	0x5001      	MOVF        R1, 0, 0
;__Lib_System.c,100 :: 		
0x003A	0x6EFE      	MOVWF       TOSH, 0
;__Lib_System.c,101 :: 		
0x003C	0x5000      	MOVF        R0, 0, 0
;__Lib_System.c,102 :: 		
0x003E	0x6EFD      	MOVWF       TOSL, 0
;__Lib_System.c,103 :: 		
0x0040	0xBE02      	BTFSC       R2, 7, 0
;__Lib_System.c,104 :: 		
0x0042	0x8EF2      	BSF         INTCON, 7, 0
;__Lib_System.c,105 :: 		
;__Lib_System.c,107 :: 		
L_end_____DoIFC:
0x0044	0x0012      	RETURN      0
; end of _____DoIFC
__Lib_Mmc_Mmc_DeSelect:
;__Lib_Mmc.c,67 :: 		
;__Lib_Mmc.c,69 :: 		
0x0046	0x808B      	BSF         Mmc_Chip_Select, BitPos(Mmc_Chip_Select+0) 
;__Lib_Mmc.c,73 :: 		
0x0048	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x004C	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0050	0x0EFF      	MOVLW       255
0x0052	0x6EE6      	MOVWF       POSTINC1 
0x0054	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x0058	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x005C	0xDFE8      	RCALL       _____DoIFC
;__Lib_Mmc.c,74 :: 		
L_end_Mmc_DeSelect:
0x005E	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_DeSelect
__Lib_Mmc_Mmc_Send_Command:
;__Lib_Mmc.c,77 :: 		
;__Lib_Mmc.c,81 :: 		
0x0060	0x0E40      	MOVLW       64
0x0062	0x0103      	MOVLB       3
0x0064	0x255C      	ADDWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 0, 1
0x0066	0x6E00      	MOVWF       R0 
0x0068	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x006C	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0070	0xFFE6C000  	MOVFF       R0, POSTINC1
0x0074	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x0078	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x007C	0xDFD8      	RCALL       _____DoIFC
;__Lib_Mmc.c,82 :: 		
0x007E	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0082	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0086	0xFFE6C360  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, POSTINC1
0x008A	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x008E	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0092	0xDFCD      	RCALL       _____DoIFC
;__Lib_Mmc.c,83 :: 		
0x0094	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0098	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x009C	0xFFE6C35F  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, POSTINC1
0x00A0	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x00A4	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00A8	0xDFC2      	RCALL       _____DoIFC
;__Lib_Mmc.c,84 :: 		
0x00AA	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00AE	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00B2	0xFFE6C35E  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, POSTINC1
0x00B6	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x00BA	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00BE	0xDFB7      	RCALL       _____DoIFC
;__Lib_Mmc.c,85 :: 		
0x00C0	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00C4	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00C8	0xFFE6C35D  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content, POSTINC1
0x00CC	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x00D0	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00D4	0xDFAC      	RCALL       _____DoIFC
;__Lib_Mmc.c,86 :: 		
0x00D6	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00DA	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00DE	0xFFE6C361  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_crc, POSTINC1
0x00E2	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x00E6	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x00EA	0xDFA1      	RCALL       _____DoIFC
;__Lib_Mmc.c,89 :: 		
0x00EC	0x0103      	MOVLB       3
0x00EE	0x6B63      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1
0x00F0	0x6B64      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1
;__Lib_Mmc.c,90 :: 		
L___Lib_Mmc_Mmc_Send_Command0:
;__Lib_Mmc.c,91 :: 		
0x00F2	0xFFE1C305  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x00F6	0xFFE2C306  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x00FA	0x0EFF      	MOVLW       255
0x00FC	0x6EE6      	MOVWF       POSTINC1 
0x00FE	0xF000C303  	MOVFF       _SPI_Rd_Ptr, R0
0x0102	0xF001C304  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0106	0xDF93      	RCALL       _____DoIFC
0x0108	0xF362C000  	MOVFF       R0, __Lib_Mmc_Mmc_Send_Command_response_L0
;__Lib_Mmc.c,92 :: 		
0x010C	0x0103      	MOVLB       3
0x010E	0x4B63      	INFSNZ      __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1, 1
0x0110	0x2B64      	INCF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1, 1
;__Lib_Mmc.c,93 :: 		
0x0112	0x0E80      	MOVLW       128
0x0114	0x1400      	ANDWF       R0, 0 
0x0116	0x6E01      	MOVWF       R1 
0x0118	0x5001      	MOVF        R1, 0 
0x011A	0x0A00      	XORLW       0
0x011C	0xE007      	BZ          L___Lib_Mmc_Mmc_Send_Command75
0x011E	0x0E00      	MOVLW       0
